"YEAR"	"AGE"	"MARST"	"n"	"prop"
1910	46	5	65489	0.0794817646701863
1910	46	6	90543	0.109888949572183
1910	47	1	608765	0.777602781545945
1910	47	2	25673	0.0327932719696912
1910	47	4	6718	0.00858120208360477
1910	47	5	62984	0.0804522822318789
1910	47	6	78734	0.10057046216888
1910	48	1	715951	0.751768246328054
1910	48	2	30787	0.0323271969725607
1910	48	4	8123	0.0085293734695849
1910	48	5	97195	0.102057423904506
1910	48	6	100300	0.105317759325294
1910	49	1	649616	0.766792652380941
1910	49	2	27175	0.0320767812499262
1910	49	4	7017	0.00828271477573992
1910	49	5	84848	0.100152740956531
1910	49	6	78530	0.0926951106368613
1910	50	1	782818	0.687704964838071
1910	50	2	47445	0.0416803932162294
1910	50	4	9526	0.00836858311261042
1910	50	5	165397	0.145301127553687
1910	50	6	133119	0.116944931279402
1910	51	1	494513	0.761352631716701
1910	51	2	20848	0.0320975983766449
1910	51	4	5412	0.0083323197627783
1910	51	5	71497	0.110076841478078
1910	51	6	57249	0.0881406086657973
1910	52	1	610745	0.738973088212874
1910	52	2	30389	0.0367692787950798
1910	52	4	7522	0.00910127069323079
1910	52	5	104793	0.12679466362081
1910	52	6	73029	0.0883616986780047
1910	53	1	484608	0.742135802790544
1910	53	2	20965	0.0321061086599968
1910	53	4	5616	0.00860042481443083
1910	53	5	86140	0.131916060098837
1910	53	6	55662	0.085241603636191
1910	54	1	491775	0.73619893651421
1910	54	2	20657	0.0309240230421921
1910	54	4	4313	0.00645666415166649
1910	54	5	94873	0.142027150025749
1910	54	6	56374	0.0843932262661828
1910	55	1	480998	0.687296114403129
1910	55	2	23759	0.0339491398760576
1910	55	4	5116	0.00731023189553056
1910	55	5	123778	0.17686588810887
